,Age,ClubSince,ActiveInternational,FormerInternational,InternationalGames,Trending,Games,PointsPerGame,Cards,Minutes,TwCleanSheets,TwGoalsConceded,TwPenaltySavesQuote,Value,InternationalTeam_Argentinien,InternationalTeam_Belgien,InternationalTeam_Belgien U18,InternationalTeam_Belgien U19,InternationalTeam_Belgien U21,InternationalTeam_Deutschland,InternationalTeam_Deutschland U17,InternationalTeam_Deutschland U18,InternationalTeam_Deutschland U19,InternationalTeam_Deutschland U20,InternationalTeam_Deutschland U21,InternationalTeam_Dänemark,InternationalTeam_England,InternationalTeam_England U20,InternationalTeam_England U21,InternationalTeam_Frankreich,InternationalTeam_Frankreich U20,InternationalTeam_Frankreich U21,InternationalTeam_Irland,InternationalTeam_Italien,InternationalTeam_Italien U20,InternationalTeam_Italien U21,InternationalTeam_Kroatien,InternationalTeam_Kroatien U21,InternationalTeam_Niederlande,InternationalTeam_Polen,InternationalTeam_Polen U21,InternationalTeam_Portugal,InternationalTeam_Portugal U19,InternationalTeam_Portugal U20,InternationalTeam_Portugal U21,InternationalTeam_Rumänien,InternationalTeam_Rumänien U21,InternationalTeam_Russland,InternationalTeam_Russland U18,InternationalTeam_Russland U20,InternationalTeam_Russland U21,InternationalTeam_Schottland,InternationalTeam_Schottland U21,InternationalTeam_Schweden,InternationalTeam_Schweden U21,InternationalTeam_Schweiz,InternationalTeam_Schweiz U19,InternationalTeam_Schweiz U20,InternationalTeam_Schweiz U21,InternationalTeam_Senegal,InternationalTeam_Serbien,InternationalTeam_Serbien U21,InternationalTeam_Slowakei,InternationalTeam_Spanien,InternationalTeam_Spanien U21,InternationalTeam_Team PFL,InternationalTeam_Tschechien,InternationalTeam_Tschechien U21,InternationalTeam_Türkei U18,InternationalTeam_Türkei U19,InternationalTeam_Türkei U21,InternationalTeam_Türkei U23,InternationalTeam_Ukraine,InternationalTeam_Ukraine U21,InternationalTeam_Wales,InternationalTeam_other,InternationalTeam_Österreich,InternationalTeam_Österreich U18,InternationalTeam_Österreich U19,InternationalTeam_Österreich U21,League_1.Division,League_1.Lig,League_2. Bundesliga,League_2. Liga,League_3. Liga,League_Allsvenskan,League_Bundesliga,League_Challenge League,League_Challenger Pro League,League_Championship,League_Ekstraklasa,League_Eliteserien,League_Fortuna Liga,League_Jupiler Pro League,League_LaLiga,League_LaLiga2,League_League One,League_Liga Portugal,League_Liga Sabseg,League_Ligue 1,League_Ligue 2,League_Premier League,League_Premier Liga,League_Premiership,League_Promotion League,League_Serie A,League_Serie B,League_Super League,League_Super League 1,League_Super League 2,League_Super liga Srbije,League_SuperLiga,League_SuperSport HNL,League_Superligaen,League_other,Club_other,LeagueCountry_Belgien,LeagueCountry_Deutschland,LeagueCountry_Dänemark,LeagueCountry_England,LeagueCountry_Frankreich,LeagueCountry_Griechenland,LeagueCountry_Italien,LeagueCountry_Kroatien,LeagueCountry_Norwegen,LeagueCountry_Polen,LeagueCountry_Portugal,LeagueCountry_Rumänien,LeagueCountry_Russland,LeagueCountry_Schottland,LeagueCountry_Schweden,LeagueCountry_Schweiz,LeagueCountry_Serbien,LeagueCountry_Spanien,LeagueCountry_Tschechien,LeagueCountry_Türkei,LeagueCountry_Ukraine,LeagueCountry_Österreich,NationalLeagueLevel_1.Liga,NationalLeagueLevel_2.Liga,NationalLeagueLevel_3.Liga,NationalLeagueLevel_other
0,28.0,3607.0,0,0,0.0,0,15.0,2.13,0.0,1324.0,7.0,9.0,50.0,2500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,24.0,492.0,0,1,13.0,0,18.0,2.0,0.0,1556.0,6.0,17.0,0.0,1300000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2,20.0,93.0,1,0,2.0,1,1.0,1.0,0.0,90.0,0.0,1.0,0.0,500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3,26.0,313.0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
27,35.0,320.0,0,1,2.0,0,29.0,1.28,3.0,2520.0,6.0,36.0,38.0,500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
28,29.0,320.0,0,1,1.0,0,6.0,1.33,0.0,448.0,2.0,9.0,0.0,100000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
54,29.0,4338.0,0,1,3.0,0,31.0,1.16,2.0,2790.0,8.0,49.0,0.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
55,31.0,1017.0,0,1,0.0,0,2.0,1.0,1.0,180.0,1.0,2.0,0.0,300000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
56,20.0,685.0,0,1,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
84,26.0,1209.0,1,0,14.0,1,30.0,1.03,5.0,2630.0,4.0,44.0,20.0,3000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
